epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2208,1.16447,4.41789,0.99075,0.05972,0.31387,0.15134,0.10535,0.6581,4.10621,0.83721,3.636e-05,3.636e-05,3.636e-05
2,52.4974,1.14191,4.06102,0.96864,0.10474,0.38686,0.29333,0.20188,0.88207,4.03662,0.84617,8.01902e-05,8.01902e-05,8.01902e-05
3,78.893,1.13522,3.19633,0.9259,0.15085,0.45255,0.36505,0.24015,0.88295,3.94554,0.85935,0.000122221,0.000122221,0.000122221
4,105.325,1.17167,1.93691,0.92922,0.15581,0.48905,0.38995,0.22456,0.91687,3.78445,0.86255,0.000162451,0.000162451,0.000162451
5,132.4,1.10387,1.56006,0.93365,0.16279,0.56204,0.47338,0.31975,0.96785,3.53178,0.86684,0.000200882,0.000200882,0.000200882
6,159.571,1.05067,1.38413,0.95161,0.17103,0.62044,0.47994,0.33669,0.91284,3.39198,0.85525,0.000237513,0.000237513,0.000237513
7,187.292,1.06198,1.3066,0.93851,0.12082,0.60584,0.42444,0.28873,0.95029,3.23118,0.87098,0.000272344,0.000272344,0.000272344
8,215.803,1.04287,1.27975,0.93865,0.10277,0.64964,0.3957,0.26813,1.02239,3.09408,0.89459,0.000305375,0.000305375,0.000305375
9,243.761,1.04748,1.29322,0.94729,0.09752,0.80292,0.49697,0.36278,0.95356,2.87024,0.88125,0.000336606,0.000336606,0.000336606
10,271.243,1.0582,1.27564,0.95598,0.09939,0.83942,0.6184,0.46622,0.96427,2.80114,0.89242,0.000366038,0.000366038,0.000366038
11,299.5,0.98039,1.19745,0.93386,0.10494,0.86861,0.67598,0.49919,0.95948,2.77408,0.90421,0.00039367,0.00039367,0.00039367
12,327.622,1.04175,1.23734,0.95338,0.96956,0.23249,0.69449,0.49546,0.99336,2.6435,0.89303,0.000419502,0.000419502,0.000419502
13,356.068,1.01285,1.13021,0.95202,0.97019,0.23759,0.70581,0.50863,0.99287,2.55866,0.89388,0.000443534,0.000443534,0.000443534
14,384.752,0.99802,1.11442,0.93534,1,0.27358,0.71051,0.51245,0.96361,2.48736,0.90554,0.000465766,0.000465766,0.000465766
15,412.2,1.02063,1.09086,0.94994,0.91823,0.24595,0.71614,0.51708,1.00122,2.50868,0.89766,0.000486199,0.000486199,0.000486199
16,440.508,0.98801,1.09095,0.91622,0.94632,0.25738,0.72837,0.52039,0.99248,2.44596,0.90954,0.000504831,0.000504831,0.000504831
17,469.177,0.9997,1.05981,0.92408,0.9621,0.37056,0.73747,0.52309,0.98366,2.1946,0.91851,0.000521664,0.000521664,0.000521664
18,497.865,0.96815,1.01509,0.90856,0.94352,0.48774,0.73555,0.52448,1.0009,2.04624,0.9276,0.000536697,0.000536697,0.000536697
19,526.586,0.98182,1.01941,0.93203,0.86628,0.52017,0.73934,0.54244,0.97414,1.87936,0.91649,0.00054993,0.00054993,0.00054993
20,555.55,0.92055,0.98053,0.91295,0.85711,0.55474,0.74655,0.52887,0.95383,1.74616,0.91471,0.000561364,0.000561364,0.000561364
21,584.31,0.94876,0.98201,0.91648,0.83564,0.56204,0.74125,0.52024,0.94564,1.72233,0.91219,0.000549036,0.000549036,0.000549036
22,612.542,0.90585,0.96309,0.89719,0.82176,0.56934,0.74718,0.52016,0.962,1.67069,0.91285,0.000531038,0.000531038,0.000531038
23,641.258,0.93798,0.95235,0.90505,0.80372,0.5978,0.74374,0.52156,0.9966,1.63336,0.91863,0.00051304,0.00051304,0.00051304
24,669.948,0.92838,0.94488,0.90777,0.83,0.59854,0.75942,0.54187,0.97442,1.58294,0.9137,0.000495041,0.000495041,0.000495041
25,698.548,0.9155,0.9662,0.91394,0.85125,0.60584,0.76447,0.54722,0.9636,1.57014,0.90653,0.000477043,0.000477043,0.000477043
26,727.088,0.89265,0.90847,0.9185,0.86367,0.60118,0.76442,0.54707,0.96058,1.56919,0.90073,0.000459045,0.000459045,0.000459045
27,755.513,0.90155,0.94787,0.9245,0.87018,0.59854,0.77634,0.56048,0.94334,1.5437,0.89823,0.000441047,0.000441047,0.000441047
28,784.369,0.90804,0.92703,0.89432,0.81312,0.63518,0.77764,0.57016,0.92963,1.37707,0.90182,0.000423049,0.000423049,0.000423049
29,812.164,0.83572,0.87198,0.89948,0.80775,0.67473,0.78179,0.57913,0.9071,1.26843,0.89496,0.00040505,0.00040505,0.00040505
30,840.182,0.85095,0.8682,0.89493,0.7731,0.69343,0.76898,0.57799,0.90732,1.22078,0.89553,0.000387052,0.000387052,0.000387052
31,868.559,0.80601,0.83648,0.89361,0.75957,0.65693,0.75203,0.56356,0.90276,1.21987,0.8968,0.000369054,0.000369054,0.000369054
32,896.929,0.81355,0.82906,0.88697,0.73946,0.67153,0.74869,0.55517,0.89,1.18866,0.89371,0.000351056,0.000351056,0.000351056
33,926.742,0.82117,0.83527,0.88523,0.75068,0.68613,0.76861,0.564,0.89556,1.15586,0.89587,0.000333058,0.000333058,0.000333058
34,955.695,0.77538,0.79012,0.86546,0.76113,0.69777,0.79397,0.57769,0.89942,1.12334,0.90033,0.000315059,0.000315059,0.000315059
35,984.177,0.88405,0.84264,0.88427,0.80067,0.67883,0.79897,0.58376,0.89481,1.0998,0.89788,0.000297061,0.000297061,0.000297061
36,1012.62,0.86537,0.84469,0.87678,0.84061,0.65446,0.78847,0.58427,0.89161,1.08985,0.89653,0.000279063,0.000279063,0.000279063
37,1041.38,0.82052,0.79099,0.88438,0.8383,0.67883,0.79609,0.58663,0.87947,1.06553,0.89612,0.000261065,0.000261065,0.000261065
38,1069.83,0.81514,0.83026,0.87939,0.84759,0.69008,0.79891,0.58769,0.88527,1.06079,0.90051,0.000243067,0.000243067,0.000243067
39,1098.61,0.81005,0.78434,0.87659,0.83165,0.70073,0.78971,0.58901,0.88796,1.04975,0.89962,0.000225068,0.000225068,0.000225068
40,1127.12,0.78695,0.77575,0.89034,0.8511,0.69343,0.81129,0.61193,0.89635,0.98442,0.9055,0.00020707,0.00020707,0.00020707
41,1155.32,0.90175,1.34555,0.8865,0.8372,0.70073,0.81605,0.6109,0.8735,0.94504,0.90028,0.000189072,0.000189072,0.000189072
42,1183.78,0.8452,1.07347,0.89421,0.75467,0.74097,0.80866,0.60566,0.87135,0.95814,0.90021,0.000171074,0.000171074,0.000171074
43,1211.83,0.8431,1.02832,0.88689,0.8406,0.64964,0.79487,0.58774,0.87376,0.99264,0.90062,0.000153076,0.000153076,0.000153076
44,1240.11,0.87436,1.04458,0.90464,0.84231,0.67153,0.78411,0.57412,0.88119,1.08138,0.90969,0.000135077,0.000135077,0.000135077
45,1269.3,0.80968,1.00149,0.89735,0.81526,0.67883,0.78544,0.57789,0.87684,1.09061,0.90674,0.000117079,0.000117079,0.000117079
46,1297.55,0.85413,1.05669,0.88945,0.82183,0.67338,0.78727,0.58,0.89179,1.09358,0.9164,9.9081e-05,9.9081e-05,9.9081e-05
47,1324.59,0.80598,0.99851,0.87746,0.75115,0.72708,0.7999,0.58936,0.8857,1.05527,0.91237,8.10828e-05,8.10828e-05,8.10828e-05
48,1352.35,0.81974,0.95933,0.89628,0.74972,0.75912,0.80518,0.5914,0.87339,0.98074,0.91128,6.30846e-05,6.30846e-05,6.30846e-05
49,1380.75,0.77711,0.8904,0.86855,0.74688,0.75384,0.80132,0.58853,0.86795,0.9535,0.9082,4.50864e-05,4.50864e-05,4.50864e-05
50,1409.05,0.80088,0.91606,0.86697,0.74215,0.74453,0.80591,0.59291,0.86843,0.93737,0.90864,2.70882e-05,2.70882e-05,2.70882e-05
